,Id,Name,Price,Rating,NumRatings,Type,StyleName,Year,Body,Acidity,Vintage,Nat,Region,Country,Size,Winery
2129,163805218,Arganza Flavium Selección Bierzo 2019,12.99,3.5,461,1,Spanish Mencia,2019,3,3,0,0,Bierzo,Spain,750,Arganza
2130,150649658,Château St. Jean Cabernet Sauvignon 2017,12.99,3.7,7772,1,Californian Cabernet Sauvignon,2017,4,3,0,0,California,United States,750,Château St. Jean
2131,165381476,Witness Mark Red Blend 2018,12.99,3.6,56,1,Californian Red Blend,2018,4,3,0,0,Central Coast,United States,750,Witness Mark
2132,152826305,Bodegas Ponce Clos Lojen Manchuela 2017,12.99,3.5,2669,1,Spanish Red,2017,4,3,0,0,Manchuela,Spain,750,Bodegas Ponce
2133,150297564,Cortes de Cima Chaminé Tinto 2017,12.99,3.7,35514,1,Portuguese Alentejo Red,2017,4,3,0,0,Alentejano,Portugal,750,Cortes de Cima
2134,161309654,Los Morros Pinot Noir 2018,12.99,3.7,184,1,Chilean Pinot Noir,2018,3,3,0,0,Central Valley,Chile,750,Los Morros
2135,151915636,Mil Piedras Malbec 2017,12.99,3.4,1829,1,Argentinian Malbec,2017,5,3,0,0,Mendoza,Argentina,750,Mil Piedras
2136,161127053,Radacini Ampre Rara Negra - Merlot - Saperavi 2018,12.99,3.4,171,1,NONE,2018,-1,-1,0,0,Moldova,Moldova,750,Radacini
2137,163005656,Doña Paula Los Cardos Cabernet Sauvignon 2020,12.99,3.4,6908,1,Argentinian Cabernet Sauvignon,2020,4,3,0,0,Lujan de Cuyo,Argentina,750,Doña Paula
2138,159986960,Château St. Jean Pinot Noir 2019,12.99,3.6,3177,1,Californian Pinot Noir,2019,3,3,0,0,California,United States,750,Château St. Jean
2139,163425535,Emiliana Natura Malbec 2020,12.99,3.5,1057,1,Chilean Malbec,2020,4,3,0,0,Rapel Valley,Chile,750,Emiliana
2140,161908853,Knotty Vines Cabernet Sauvignon 2018,12.99,3.5,624,1,Californian Cabernet Sauvignon,2018,4,3,0,0,California,United States,750,Knotty Vines
2141,160117127,Ciù Ciù Piceno Bacchus 2019,12.99,3.7,6472,1,Central Italy Red,2019,3,3,0,0,Rosso Piceno,Italy,750,Ciù Ciù
2142,120963531,Greg Norman Cabernet Sauvignon 2016,12.99,3.6,1117,1,Californian Cabernet Sauvignon,2016,4,3,0,0,Paso Robles,United States,750,Greg Norman
2143,161824397,Colimoro Montepulciano d'Abruzzo 2019,12.99,3.7,2575,1,Italian Montepulciano d'Abruzzo,2019,3,3,0,0,Montepulciano d'Abruzzo,Italy,750,Colimoro
2144,159742332,Slow Press Cabernet Sauvignon 2019,12.99,3.7,9682,1,Californian Cabernet Sauvignon,2019,4,3,0,0,Paso Robles,United States,750,Slow Press
2145,160871438,Cesari Duetorri Pinot Noir delle Venezie 2019,12.99,3.7,621,1,Northern Italy Pinot Noir,2019,-1,-1,0,0,delle Venezie,Italy,750,Cesari
